Colombia;6,3;3,8;3,9
Namibia12;6,3;5,1;1,4
Chile;6,3;5,3;5,1
Malta12;6,1;6,1;6,5
Congo, Rep.2,12;6;3,2;1,4
Madagascar12;6;2,3;0,2
Croatia;5,9;6;6,9
Jamaica12;5,9;4,8;3,8
Macedonia1;5,8;5,8;5,2
Barbados1,12;5,8;5,8;4,5
Latvia;5,7;4;4,6
Mauritania1,12;5,6;5,6;0,6
Turkey;5,6;5,3;5,5
Romania;5,5;5,5;6,1
Lithuania;5,4;4,5;5,7
Costa Rica12;5,4;2,8;1,5
Lebanon;5,3;5,2;4,4
North Korea;5,2;5,1;5
Thailand;5,1;4,3;5,6
Jordan;4,9;4,9;4,2
Honduras12;4,7;2;1,1
Sudan12;4,6;3,7;0,3
Bosnia & Herzegovina12;4,5;4,5;4,3
Algeria;4,2;4,2;4,2
Iraq;4,2;4,2;4,6
Sierra Leone12;4,2;1,2;0,2
Syria12;4;4;2,7
China;3,9;3,9;5,5
Tunisia12;3,7;3,3;2,3
Dominican Republic12;3,5;3,5;1,9
Saint Kitts and Nevis1,12;3,3;3,3;2,8
Nigeria;3,3;1,6;2,1
Fiji2,12;3,3;3,1;2
Guinea12;3,2;2;0,2
Mauritius1,12;3,2;3,2;2,7
Cuba12;3,1;4;2,2
Togo12;3,1;1,5;0,2
Vanuatu12;3;2,9;0,4
Philippines;3;1,7;1,7
Malawi12;3;0,6;0,1
Mali12;2,9;2,2;0
Chad12;2,9;2,4;0
Sri Lanka12;2,8;1,3;0,7
Uganda;2,7;1,1;1,1
Dominica1,12;2,7;2,7;1,6
Saint Lucia1,12;2,7;2,7;2,2
Egypt;2,6;2,6;3
Niue1,2,12;2,6;2,6;1,7
Ghana12;2,6;1,2;0,4
Moldova1;2,5;2,5;3,2
Grenada1,12;2,5;2,5;2,2
El Salvador12;2,4;1,8;1
Guinea-Bissau12;2,4;1,6;0,2
Tanzania12;2,4;1,9;0,1
Djibouti12;2,4;2,4;0,5
Pakistan;2,3;2,1;1,5
Samoa2,12;2,3;2,2;0,8
Tonga12;2,3;2,3;1,2
Morocco12;2,2;2,1;1,6
Senegal;2,2;1,8;1,8
Albania;2,2;1,9;2,9
Georgia1;2,2;2,2;2
Armenia1;2,1;2,1;2,5
St. Vincent & Grenadines1,12;2;2;1,6
Kenya12;2;1,6;0,3
Maldives1,12;1,9;1,9;2,4
Kyrgyzstan;1,9;1,9;1,9
Burkina Faso12;1,9;1,9;0,1
India;1,8;1,9;1,7
Cook Islands2,12;1,8;1,7;2,9
Bhutan12;1,7;1,7;0,6
Yemen12;1,6;1,6;0,9
Tajikistan1;1,6;1,6;0,5
Mozambique12;1,6;1,1;0,1
Rwanda12;1,6;0,7;0,1
Burundi12;1,6;0,4;0
Lesotho12;1,5;1,5;0,1
Swaziland12;1,5;3,2;0,8
Eritrea1,12;1,4;1,4;0,1
Haiti12;1,4;1,2;0,2
Solomon Islands12;1,1;0,8;0,4
Vietnam;1,1;1,7;2,1
Cape Verde1,12;1,1;1,1;0,6
Niger12;1,1;1;0,1
Ethiopia;1,1;0,9;1
Afghanistan12;0,9;0,6;0
The Gambia12;0,9;1,1;0,2
Bangladesh;0,9;0,9;0,9
Comoros1,12;0,7;0,7;0,1
Kiribati112;0,6;0,6;0,3
Uruguay11;0,3;7,6;12,7
